Product_ID,Product_Name,Brand,Category,Region,Channel,Date,Week_Num,Units_Sold,Promotion_Flag,Is_New_Launch,Lifecycle_Stage,Usage_Frequency,Price_USD,Rating,Skin_Type,Gender_Target,Cruelty_Free,Country_of_Origin,Week_Index
0,Magic Eye Shadow,Shiseido,Highlighter,US,Retail,1/1/2023,52,100,0,1,Launch,Occasional,45.92,4.1,Dry,Female,TRUE,France,0
22,Divine Lip Gloss,Kylie Cosmetics,Powder,EU,eCommerce,1/1/2023,52,321,1,1,Launch,Occasional,21.19,2.4,Sensitive,Female,TRUE,Italy,0
17,Super Cleanser,NARS,Lipstick,China,Retail,1/1/2023,52,41,0,1,Launch,Monthly,147.72,3,Normal,Male,TRUE,South Korea,0
17,Super Cleanser,NARS,Lipstick,EU,eCommerce,1/1/2023,52,42,0,1,Launch,Monthly,147.72,3,Normal,Male,TRUE,South Korea,0
6,Divine Contour,Patrick Ta,Setting Spray,EU,eCommerce,1/1/2023,52,92,0,1,Launch,Monthly,93.22,2,Normal,Male,TRUE,France,0
10,Magic Powder,Huda Beauty,Contour,China,Retail,1/1/2023,52,81,0,1,Launch,Monthly,43.8,4,Normal,Unisex,TRUE,USA,0
12,Divine Primer,Yves Saint Laurent,Mascara,EU,eCommerce,1/1/2023,52,91,0,1,Launch,Weekly,148.28,1.8,Combination,Male,TRUE,France,0
22,Divine Lip Gloss,Kylie Cosmetics,Powder,China,Retail,1/1/2023,52,289,0,1,Launch,Occasional,21.19,2.4,Sensitive,Female,TRUE,Italy,0
7,Divine Eye Shadow,Bite Beauty,Moisturizer,EU,eCommerce,1/1/2023,52,280,0,1,Launch,Daily,48.35,1.7,Sensitive,Female,FALSE,Australia,0
12,Divine Primer,Yves Saint Laurent,Mascara,US,eCommerce,1/1/2023,52,128,1,1,Launch,Weekly,148.28,1.8,Combination,Male,TRUE,France,0
12,Divine Primer,Yves Saint Laurent,Mascara,US,Retail,1/1/2023,52,80,0,1,Launch,Weekly,148.28,1.8,Combination,Male,TRUE,France,0
11,Magic Bronzer,Glossier,Blush,China,eCommerce,1/1/2023,52,98,0,1,Launch,Weekly,148.1,1.7,Oily,Female,FALSE,Australia,0
11,Magic Bronzer,Glossier,Blush,China,Retail,1/1/2023,52,87,0,1,Launch,Weekly,148.1,1.7,Oily,Female,FALSE,Australia,0
7,Divine Eye Shadow,Bite Beauty,Moisturizer,China,Retail,1/1/2023,52,299,0,1,Launch,Daily,48.35,1.7,Sensitive,Female,FALSE,Australia,0
11,Magic Bronzer,Glossier,Blush,EU,eCommerce,1/1/2023,52,80,0,1,Launch,Weekly,148.1,1.7,Oily,Female,FALSE,Australia,0
12,Divine Primer,Yves Saint Laurent,Mascara,EU,Retail,1/1/2023,52,95,0,1,Launch,Weekly,148.28,1.8,Combination,Male,TRUE,France,0
22,Divine Lip Gloss,Kylie Cosmetics,Powder,China,eCommerce,1/1/2023,52,333,0,1,Launch,Occasional,21.19,2.4,Sensitive,Female,TRUE,Italy,0
23,Divine Lip Liner,KVD Beauty,Moisturizer,US,Retail,1/1/2023,52,49,0,1,Launch,Weekly,68.5,4.6,Combination,Female,TRUE,South Korea,0
23,Divine Lip Liner,KVD Beauty,Moisturizer,US,eCommerce,1/1/2023,52,65,0,1,Launch,Weekly,68.5,4.6,Combination,Female,TRUE,South Korea,0
25,Magic Highlighter,NARS,Makeup Remover,US,eCommerce,1/1/2023,52,608,0,1,Launch,Daily,16.83,2,Sensitive,Female,FALSE,USA,0
25,Magic Highlighter,NARS,Makeup Remover,US,Retail,1/1/2023,52,513,0,1,Launch,Daily,16.83,2,Sensitive,Female,FALSE,USA,0
5,Magic Eye Shadow,Yves Saint Laurent,Cleanser,US,Retail,1/1/2023,52,253,0,1,Launch,Weekly,28.27,2.6,Combination,Male,TRUE,Germany,0
24,Super BB Cream,RMS Beauty,Moisturizer,China,eCommerce,1/1/2023,52,132,0,1,Launch,Weekly,97.76,1.9,Combination,Male,TRUE,Germany,0
24,Super BB Cream,RMS Beauty,Moisturizer,EU,eCommerce,1/1/2023,52,131,0,1,Launch,Weekly,97.76,1.9,Combination,Male,TRUE,Germany,0
5,Magic Eye Shadow,Yves Saint Laurent,Cleanser,EU,eCommerce,1/1/2023,52,266,0,1,Launch,Weekly,28.27,2.6,Combination,Male,TRUE,Germany,0
24,Super BB Cream,RMS Beauty,Moisturizer,EU,Retail,1/1/2023,52,180,1,1,Launch,Weekly,97.76,1.9,Combination,Male,TRUE,Germany,0
24,Super BB Cream,RMS Beauty,Moisturizer,US,eCommerce,1/1/2023,52,123,0,1,Launch,Weekly,97.76,1.9,Combination,Male,TRUE,Germany,0
5,Magic Eye Shadow,Yves Saint Laurent,Cleanser,US,eCommerce,1/1/2023,52,313,0,1,Launch,Weekly,28.27,2.6,Combination,Male,TRUE,Germany,0
24,Super BB Cream,RMS Beauty,Moisturizer,US,Retail,1/1/2023,52,127,0,1,Launch,Weekly,97.76,1.9,Combination,Male,TRUE,Germany,0
23,Divine Lip Liner,KVD Beauty,Moisturizer,China,eCommerce,1/1/2023,52,67,0,1,Launch,Weekly,68.5,4.6,Combination,Female,TRUE,South Korea,0
23,Divine Lip Liner,KVD Beauty,Moisturizer,China,Retail,1/1/2023,52,62,0,1,Launch,Weekly,68.5,4.6,Combination,Female,TRUE,South Korea,0
23,Divine Lip Liner,KVD Beauty,Moisturizer,EU,eCommerce,1/1/2023,52,63,0,1,Launch,Weekly,68.5,4.6,Combination,Female,TRUE,South Korea,0
23,Divine Lip Liner,KVD Beauty,Moisturizer,EU,Retail,1/1/2023,52,51,0,1,Launch,Weekly,68.5,4.6,Combination,Female,TRUE,South Korea,0
5,Magic Eye Shadow,Yves Saint Laurent,Cleanser,EU,Retail,1/1/2023,52,367,1,1,Launch,Weekly,28.27,2.6,Combination,Male,TRUE,Germany,0
11,Magic Bronzer,Glossier,Blush,EU,Retail,1/1/2023,52,81,0,1,Launch,Weekly,148.1,1.7,Oily,Female,FALSE,Australia,0
11,Magic Bronzer,Glossier,Blush,US,eCommerce,1/1/2023,52,81,0,1,Launch,Weekly,148.1,1.7,Oily,Female,FALSE,Australia,0
11,Magic Bronzer,Glossier,Blush,US,Retail,1/1/2023,52,97,0,1,Launch,Weekly,148.1,1.7,Oily,Female,FALSE,Australia,0
10,Magic Powder,Huda Beauty,Contour,China,eCommerce,1/1/2023,52,89,0,1,Launch,Monthly,43.8,4,Normal,Unisex,TRUE,USA,0
13,Super Blush,Farsali,Concealer,US,Retail,1/1/2023,52,90,0,1,Launch,Monthly,92.73,1.9,Oily,Male,TRUE,South Korea,0
13,Super Blush,Farsali,Concealer,US,eCommerce,1/1/2023,52,76,0,1,Launch,Monthly,92.73,1.9,Oily,Male,TRUE,South Korea,0
17,Super Cleanser,NARS,Lipstick,US,eCommerce,1/1/2023,52,42,0,1,Launch,Monthly,147.72,3,Normal,Male,TRUE,South Korea,0
17,Super Cleanser,NARS,Lipstick,US,Retail,1/1/2023,52,42,0,1,Launch,Monthly,147.72,3,Normal,Male,TRUE,South Korea,0
16,Super Eye Shadow,Ilia Beauty,Blush,China,eCommerce,1/1/2023,52,100,0,1,Launch,Monthly,36.08,3.6,Combination,Male,TRUE,USA,0
